1;177;70;170;50;204
2;61;100;180;70;200
3;167;50;130;40;150
4;110;70;170;55;190
1;189;70;170;50;204
2;104;100;180;70;200
3;187;50;130;40;150
4;189;70;170;55;190
1;208;70;170;50;204
2;142;100;180;70;200
3;157;50;130;40;150
4;252;70;170;55;190
1;166;70;170;50;204
2;122;100;180;70;200
3;154;50;130;40;150
4;227;70;170;55;190
1;64;70;170;50;204
2;117;100;180;70;200
3;255;50;130;40;150
4;160;70;170;55;190
1;86;70;170;50;204
2;149;100;180;70;200
3;145;50;130;40;150
4;190;70;170;55;190
1;133;70;170;50;204
2;217;100;180;70;200
3;19;50;130;40;150
4;199;70;170;55;190
1;132;70;170;50;204
2;196;100;180;70;200
3;0;50;130;40;150
4;92;70;170;55;190
1;156;70;170;50;204
2;160;100;180;70;200
3;93;50;130;40;150
4;48;70;170;55;190
1;160;70;170;50;204
2;177;100;180;70;200
1;90;70;170;50;204
3;146;50;130;40;150
4;104;70;170;55;190
2;155;100;180;70;200
1;92;70;170;50;204
2;64;100;180;70;200
3;114;50;130;40;150
4;177;70;170;55;190
1;110;70;170;50;204
2;48;100;180;70;200
3;118;50;130;40;150
4;236;70;170;55;190
1;64;70;170;50;204
2;34;100;180;70;200
3;71;50;130;40;150
4;215;70;170;55;190
1;45;70;170;50;204
2;40;100;180;70;200
3;94;50;130;40;150
4;189;70;170;55;190
1;172;70;170;50;204
2;125;100;180;70;200
3;114;50;130;40;150
4;152;70;170;55;190
1;255;70;170;50;204
2;131;100;180;70;200
3;109;50;130;40;150
4;157;70;170;55;190
1;182;70;170;50;204
2;142;100;180;70;200
3;71;50;130;40;150
4;149;70;170;55;190
1;129;70;170;50;204
2;100;100;180;70;200
3;35;50;130;40;150
4;139;70;170;55;190
1;110;70;170;50;204
2;127;100;180;70;200
3;67;50;130;40;150
4;198;70;170;55;190
1;148;70;170;50;204
2;166;100;180;70;200
1;152;70;170;50;204
3;146;50;130;40;150
4;204;70;170;55;190
2;138;100;180;70;200
1;27;70;170;50;204
2;148;100;180;70;200
3;178;50;130;40;150
4;120;70;170;55;190
1;35;70;170;50;204
2;133;100;180;70;200
3;96;50;130;40;150
4;78;70;170;55;190
1;95;70;170;50;204
2;198;100;180;70;200
3;67;50;130;40;150
4;131;70;170;55;190
1;83;70;170;50;204
2;178;100;180;70;200
3;86;50;130;40;150
4;133;70;170;55;190
1;74;70;170;50;204
2;55;100;180;70;200
3;81;50;130;40;150
4;73;70;170;55;190
1;94;70;170;50;204
2;34;100;180;70;200
3;96;50;130;40;150
4;89;70;170;55;190
1;91;70;170;50;204
2;58;100;180;70;200
3;123;50;130;40;150
4;68;70;170;55;190
1;39;70;170;50;204
2;144;100;180;70;200
3;117;50;130;40;150
4;38;70;170;55;190
1;30;70;170;50;204
2;244;100;180;70;200
3;81;50;130;40;150
4;101;70;170;55;190
1;79;70;170;50;204
2;255;100;180;70;200
1;179;70;170;50;204
3;110;50;130;40;150
4;188;70;170;55;190
2;143;100;180;70;200
1;199;70;170;50;204
2;74;100;180;70;200
3;106;50;130;40;150
4;154;70;170;55;190
1;156;70;170;50;204
2;137;100;180;70;200
3;42;50;130;40;150
4;114;70;170;55;190
1;119;70;170;50;204
2;164;100;180;70;200
3;14;50;130;40;150
4;152;70;170;55;190
1;101;70;170;50;204
2;178;100;180;70;200
3;57;50;130;40;150
4;115;70;170;55;190
1;118;70;170;50;204
2;146;100;180;70;200
3;74;50;130;40;150
4;76;70;170;55;190
1;62;70;170;50;204
2;72;100;180;70;200
3;82;50;130;40;150
4;111;70;170;55;190
1;0;70;170;50;204
2;110;100;180;70;200
3;122;50;130;40;150
4;134;70;170;55;190
1;80;70;170;50;204
2;160;100;180;70;200
3;163;50;130;40;150
4;144;70;170;55;190
1;142;70;170;50;204
2;150;100;180;70;200
3;176;50;130;40;150
4;115;70;170;55;190
1;117;70;170;50;204
2;139;100;180;70;200
1;97;70;170;50;204
3;100;50;130;40;150
4;76;70;170;55;190
2;156;100;180;70;200
1;25;70;170;50;204
2;76;100;180;70;200
3;93;50;130;40;150
4;99;70;170;55;190
1;77;70;170;50;204
2;44;100;180;70;200
3;105;50;130;40;150
4;203;70;170;55;190
1;238;70;170;50;204
2;170;100;180;70;200
3;115;50;130;40;150
4;229;70;170;55;190
1;210;70;170;50;204
2;191;100;180;70;200
3;91;50;130;40;150
4;10;70;170;55;190
1;105;70;170;50;204
2;146;100;180;70;200
3;48;50;130;40;150
4;0;70;170;55;190
1;81;70;170;50;204
2;125;100;180;70;200
3;122;50;130;40;150
4;96;70;170;55;190
1;63;70;170;50;204
2;132;100;180;70;200
3;151;50;130;40;150
4;133;70;170;55;190
1;74;70;170;50;204
2;134;100;180;70;200
3;117;50;130;40;150
4;191;70;170;55;190
1;73;70;170;50;204
2;107;100;180;70;200
3;113;50;130;40;150
4;162;70;170;55;190
1;97;70;170;50;204
2;97;100;180;70;200
1;88;70;170;50;204
3;125;50;130;40;150
4;70;70;170;55;190
2;148;100;180;70;200
1;67;70;170;50;204
2;139;100;180;70;200
3;131;50;130;40;150
4;42;70;170;55;190
1;102;70;170;50;204
2;71;100;180;70;200
3;147;50;130;40;150
4;108;70;170;55;190
1;51;70;170;50;204
2;26;100;180;70;200
3;138;50;130;40;150
4;151;70;170;55;190
1;118;70;170;50;204
2;0;100;180;70;200
3;72;50;130;40;150
4;129;70;170;55;190
1;147;70;170;50;204
2;114;100;180;70;200
3;34;50;130;40;150
4;95;70;170;55;190
1;125;70;170;50;204
2;122;100;180;70;200
3;96;50;130;40;150
4;46;70;170;55;190
1;164;70;170;50;204
2;135;100;180;70;200
3;110;50;130;40;150
4;120;70;170;55;190
1;142;70;170;50;204
2;204;100;180;70;200
3;68;50;130;40;150
4;103;70;170;55;190
1;120;70;170;50;204
2;196;100;180;70;200
3;88;50;130;40;150
4;32;70;170;55;190
1;131;70;170;50;204
2;198;100;180;70;200
1;130;70;170;50;204
3;132;50;130;40;150
4;120;70;170;55;190
2;163;100;180;70;200
1;109;70;170;50;204
2;163;100;180;70;200
3;106;50;130;40;150
4;184;70;170;55;190
1;159;70;170;50;204
2;144;100;180;70;200
3;90;50;130;40;150
4;193;70;170;55;190
1;77;70;170;50;204
2;135;100;180;70;200
3;94;50;130;40;150
4;208;70;170;55;190
1;16;70;170;50;204
2;143;100;180;70;200
3;77;50;130;40;150
4;199;70;170;55;190
1;71;70;170;50;204
2;158;100;180;70;200
3;110;50;130;40;150
4;122;70;170;55;190
1;129;70;170;50;204
2;167;100;180;70;200
3;123;50;130;40;150
4;144;70;170;55;190
1;114;70;170;50;204
2;153;100;180;70;200
3;80;50;130;40;150
4;163;70;170;55;190
1;69;70;170;50;204
2;168;100;180;70;200
3;80;50;130;40;150
4;200;70;170;55;190
1;165;70;170;50;204
2;144;100;180;70;200
3;146;50;130;40;150
4;163;70;170;55;190
1;195;70;170;50;204
2;70;100;180;70;200
1;141;70;170;50;204
3;136;50;130;40;150
4;171;70;170;55;190
2;125;100;180;70;200
1;135;70;170;50;204
2;137;100;180;70;200
3;64;50;130;40;150
4;217;70;170;55;190
1;87;70;170;50;204
2;57;100;180;70;200
3;93;50;130;40;150
